Wavelength,DY415,DY490,AT520,AT550,TRX,AT620,AT655
460,0.92404377,0,0,0,0,0,0
460.1,0.92692754,0,0,0,0,0,0
460.2,0.9298113,0,0,0,0,0,0
460.3,0.93269507,0,0,0,0,0,0
460.4,0.93557883,0,0,0,0,0,0
460.5,0.9384626,0,0,0,0,0,0
460.6,0.94134636,0,0,0,0,0,0
460.7,0.94423013,0,0,0,0,0,0
460.8,0.94711389,0,0,0,0,0,0
460.9,0.94999765,0,0,0,0,0,0
461,0.95288142,0,0,0,0,0,0
461.1,0.95576518,0,0,0,0,0,0
461.2,0.95799512,0,0,0,0,0,0
461.3,0.95921518,0,0,0,0,0,0
461.4,0.96043525,0,0,0,0,0,0
461.5,0.96165532,0,0,0,0,0,0
461.6,0.96287539,0,0,0,0,0,0
461.7,0.96409546,0,0,0,0,0,0
461.8,0.96531552,0,0,0,0,0,0
461.9,0.96653559,0,0,0,0,0,0
462,0.96775566,0,0,0,0,0,0
462.1,0.96897573,0,0,0,0,0,0
462.2,0.97019579,0,0,0,0,0,0
462.3,0.97141586,0,0,0,0,0,0
462.4,0.97263593,0,0,0,0,0,0
462.5,0.973856,0,0,0,0,0,0
462.6,0.97507607,0,0,0,0,0,0
462.7,0.97629613,0,0,0,0,0,0
462.8,0.9775162,0,0,0,0,0,0
462.9,0.97873627,0,0,0,0,0,0
463,0.97995634,0,0,0,0,0,0
463.1,0.98117641,0,0,0,0,0,0
463.2,0.98239647,0,0,0,0,0,0
463.3,0.98361654,0,0,0,0,0,0
463.4,0.98483661,0,0,0,0,0,0
463.5,0.98605668,0,0,0,0,0,0
463.6,0.98727675,0,0,0,0,0,0
463.7,0.98849681,0,0,0,0,0,0
463.8,0.98971688,0,0,0,0,0,0
463.9,0.99093695,0,0,0,0,0,0
464,0.99215702,0,0,0,0,0,0
464.1,0.99337709,0,0,0,0,0,0
464.2,0.99356675,0,0,0,0,0,0
464.3,0.99367767,0,0,0,0,0,0
464.4,0.99378859,0,0,0,0,0,0
464.5,0.99389951,0,0,0,0,0,0
464.6,0.99401043,0,0,0,0,0,0
464.7,0.99412134,0,0,0,0,0,0
464.8,0.99423226,0,0,0,0,0,0
464.9,0.99434318,0,0,0,0,0,0
465,0.9944541,0,0,0,0,0,0
465.1,0.99456502,0,0,0,0,0,0
465.2,0.99467593,0,0,0,0,0,0
465.3,0.99478685,0,0,0,0,0,0
465.4,0.99489777,0,0,0,0,0,0
